player,sleeper_id,date,sources
A.J. Green,830,2020-08-28,startup_draftday
A.J. Green,830,2020-10-22,tx_added
A.J. Green,830,2020-10-25,tx_dropped
A.J. Green,830,2020-10-28,tx_added
A.J. Green,830,2020-11-04,tx_dropped
Allen Robinson,1992,2020-08-28,startup_draftday
Anthony McFarland,6878,2020-09-30,tx_added
Antonio Brown,536,2020-10-21,tx_added
Ben Roethlisberger,138,2020-09-11,tx_added
Benny Snell,6156,2020-09-16,tx_added
Benny Snell,6156,2020-09-23,tx_dropped
Benny Snell,6156,2020-11-29,tx_added
Benny Snell,6156,2020-12-05,tx_added
Benny Snell,6156,2020-12-10,tx_dropped
Brian Hill,4187,2020-11-27,tx_added
Bryan Edwards,6870,2020-09-23,tx_added
Bryce Love,5889,2020-08-28,startup_draftday
Bryce Love,5889,2020-09-18,tx_dropped
Cam Newton,954,2020-08-28,startup_draftday
Cam Newton,954,2020-12-04,tx_dropped
Cam Newton,954,2020-12-06,tx_added
Carlos Hyde,2257,2020-10-28,tx_added
Carlos Hyde,2257,2020-11-04,tx_dropped
Carson Wentz,3161,2020-08-28,startup_draftday
Chris Carson,4273,2020-08-28,startup_draftday
Chris Herndon,5009,2020-08-28,startup_draftday
Chris Herndon,5009,2020-09-24,tx_dropped
Chris Thompson,1502,2020-09-11,tx_added
Chris Thompson,1502,2020-09-16,tx_dropped
Corey Davis,4036,2020-09-23,tx_added
Corey Davis,4036,2020-10-08,tx_dropped
Corey Davis,4036,2020-10-15,tx_added
Damien Harris,5890,2020-10-07,tx_added
Darrell Henderson,5916,2020-08-28,startup_draftday
David Johnson,2391,2020-08-28,startup_draftday
DeAndre Washington,3300,2020-12-12,tx_added
Devine Ozigbo,6068,2020-08-28,startup_draftday
Devonta Freeman,2168,2020-09-23,tx_added
Devontae Booker,3209,2020-12-04,tx_added
Devontae Booker,3209,2020-12-10,tx_dropped
Devontae Booker,3209,2020-12-12,tx_added;tx_dropped
Dexter Williams,6153,2020-12-24,tx_added
Dez Bryant,574,2020-11-07,tx_added
Dez Bryant,574,2020-11-08,tx_dropped
Dez Bryant,574,2020-11-29,tx_added;tx_dropped
Dion Lewis,788,2020-09-23,tx_added
Drew Brees,289,2020-08-28,startup_draftday
Duke Johnson,2382,2020-08-28,startup_draftday
Duke Johnson,2382,2020-10-03,tx_dropped
Duke Johnson,2382,2020-11-11,tx_added
Duke Johnson,2382,2020-12-12,tx_dropped
Duke Johnson,2382,2020-12-13,tx_added
Duke Johnson,2382,2020-12-16,tx_dropped
Emmanuel Sanders,538,2020-08-28,startup_draftday
Eric Ebron,2118,2020-10-16,tx_added
Eric Ebron,2118,2020-10-21,tx_dropped
Eric Ebron,2118,2020-11-04,tx_added
Eric Ebron,2118,2020-11-25,tx_dropped
Eric Ebron,2118,2020-12-04,tx_added
Eric Ebron,2118,2020-12-19,tx_dropped
Frank Gore,232,2020-12-04,tx_added
Frank Gore,232,2020-12-05,tx_dropped
Giovani Bernard,1386,2020-10-25,tx_added
Giovani Bernard,1386,2020-10-28,tx_dropped
Giovani Bernard,1386,2020-10-29,tx_added
Giovani Bernard,1386,2020-11-04,tx_dropped
Giovani Bernard,1386,2020-11-12,tx_added;tx_dropped
Giovani Bernard,1386,2020-12-24,tx_dropped
Giovani Bernard,1386,2020-12-26,tx_added
Golden Tate,642,2020-08-28,startup_draftday
Greg Ward,6744,2020-10-15,tx_added
Greg Ward,6744,2020-10-17,tx_dropped
Henry Ruggs,6789,2020-08-28,startup_draftday
J.D. McKissic,3664,2020-10-21,tx_added
J.D. McKissic,3664,2020-10-28,tx_dropped
J.D. McKissic,3664,2020-11-11,tx_added
JaMycal Hasty,6996,2020-11-04,tx_added
JaMycal Hasty,6996,2020-11-11,tx_dropped
Jack Doyle,1706,2020-08-28,startup_draftday
Jack Doyle,1706,2020-09-18,tx_dropped
Jalen Reagor,6798,2020-08-28,startup_draftday
Jalen Richard,3868,2020-08-28,startup_draftday
Jalen Richard,3868,2020-09-16,tx_dropped
James Robinson,6955,2020-08-28,startup_draftday
James Washington,5024,2020-10-17,tx_added
James Washington,5024,2020-10-29,tx_dropped
James White,1848,2020-08-28,startup_draftday
Jamison Crowder,2410,2020-08-28,startup_draftday
Jamison Crowder,2410,2020-11-28,tx_dropped
Jamison Crowder,2410,2020-12-04,tx_added
Jared Cook,367,2020-08-28,startup_draftday
Jared Cook,367,2020-12-04,tx_dropped
Jarvis Landry,1825,2020-08-28,startup_draftday
Jimmy Graham,616,2020-11-01,tx_added
Jimmy Graham,616,2020-11-18,tx_dropped
John Brown,2238,2020-08-28,startup_draftday
John Brown,2238,2020-10-21,tx_dropped
John Brown,2238,2020-10-23,tx_added
John Brown,2238,2020-10-28,tx_dropped
John Brown,2238,2020-11-11,tx_added
John Brown,2238,2020-11-12,tx_added;tx_dropped
John Brown,2238,2020-11-18,tx_dropped
John Brown,2238,2020-12-26,tx_added
John Brown,2238,2020-12-27,tx_dropped
Jordan Howard,3306,2020-08-28,startup_draftday
Jordan Howard,3306,2020-09-18,tx_dropped
Jordan Wilkins,5100,2020-11-28,tx_added
Josh Doctson,3178,2020-08-28,startup_draftday
Julian Edelman,344,2020-08-28,startup_draftday
Julio Jones,947,2020-08-28,startup_draftday
Justin Jackson,5131,2020-08-28,startup_draftday
Justin Jackson,5131,2020-09-12,tx_dropped
Justin Jackson,5131,2020-10-07,tx_added
Justin Jackson,5131,2020-10-15,tx_dropped
Justin Jackson,5131,2020-10-17,tx_added
Kalen Ballage,4994,2020-11-18,tx_added
Kalen Ballage,4994,2020-11-28,tx_dropped
Keke Coutee,5007,2020-12-10,tx_added
Keke Coutee,5007,2020-12-26,tx_dropped
Kenny Golladay,4131,2020-08-28,startup_draftday
Kenyan Drake,3242,2020-08-28,startup_draftday
Kerryon Johnson,5068,2020-08-28,startup_draftday
Kerryon Johnson,5068,2020-09-30,tx_dropped
Kerryon Johnson,5068,2020-11-26,tx_added
Kerryon Johnson,5068,2020-12-04,tx_dropped
Kyle Rudolph,943,2020-12-04,tx_added
La'Mical Perine,6908,2020-09-18,tx_added
La'Mical Perine,6908,2020-09-23,tx_dropped
La'Mical Perine,6908,2020-10-28,tx_added
La'Mical Perine,6908,2020-11-11,tx_dropped
La'Mical Perine,6908,2020-11-21,tx_added
Larry Fitzgerald,223,2020-08-28,startup_draftday
Larry Fitzgerald,223,2020-09-16,tx_dropped
Larry Fitzgerald,223,2020-09-20,tx_added
Larry Fitzgerald,223,2020-09-24,tx_dropped
Latavius Murray,1476,2020-08-28,startup_draftday
Le'Veon Bell,1408,2020-08-28,startup_draftday
Leonard Fournette,3969,2020-08-28,startup_draftday
Logan Thomas,2251,2020-09-17,tx_added
Logan Thomas,2251,2020-09-23,tx_dropped
Logan Thomas,2251,2020-09-25,tx_added
Logan Thomas,2251,2020-09-30,tx_dropped
Logan Thomas,2251,2020-12-10,tx_added
Lynn Bowden,6909,2020-12-17,tx_added
Lynn Bowden,6909,2020-12-26,tx_added
Malcolm Brown,2588,2020-09-12,tx_added
Mark Ingram,956,2020-08-28,startup_draftday
Marlon Mack,4152,2020-09-12,tx_added
Marlon Mack,4152,2020-10-15,tx_added
Marvin Jones,1067,2020-08-28,startup_draftday
Matt Breida,4455,2020-08-28,startup_draftday
Matt Breida,4455,2020-11-11,tx_dropped
Matt Ryan,24,2020-08-28,startup_draftday
Melvin Gordon,2320,2020-08-28,startup_draftday
Melvin Gordon,2320,2020-11-22,tx_dropped
Melvin Gordon,2320,2020-11-25,tx_added;tx_dropped
Melvin Gordon,2320,2020-12-12,tx_added
N'Keal Harry,5878,2020-08-28,startup_draftday
N'Keal Harry,5878,2020-11-11,tx_dropped
P.J. Walker,4335,2020-11-22,tx_added
Phillip Lindsay,5170,2020-08-28,startup_draftday
Phillip Lindsay,5170,2020-09-23,tx_dropped
Phillip Lindsay,5170,2020-10-15,tx_added
Preston Williams,6148,2020-08-28,startup_draftday
Randall Cobb,928,2020-11-04,tx_added
Randall Cobb,928,2020-11-11,tx_dropped
Richard Rodgers,2146,2020-10-22,tx_added
Richard Rodgers,2146,2020-11-01,tx_dropped
Rob Gronkowski,515,2020-08-28,startup_draftday
Robbie Chosen,3423,2020-08-28,startup_draftday
Robert Tonyan,4602,2020-10-15,tx_added
Robert Tonyan,4602,2020-10-28,tx_dropped
Robert Tonyan,4602,2020-11-04,tx_added
Robert Tonyan,4602,2020-11-05,tx_dropped
Robert Tonyan,4602,2020-12-04,tx_added
Ronald Jones,5052,2020-08-28,startup_draftday
Royce Freeman,5046,2020-11-28,tx_added;tx_dropped
Russell Gage,5110,2020-09-23,tx_added;tx_dropped
Russell Gage,5110,2020-09-24,tx_added
Russell Gage,5110,2020-10-16,tx_dropped
Ryan Fitzpatrick,333,2020-10-01,tx_added
Ryan Fitzpatrick,333,2020-10-07,tx_dropped
Ryan Fitzpatrick,333,2020-10-15,tx_added
Ryan Fitzpatrick,333,2020-10-22,tx_dropped
Ryan Fitzpatrick,333,2020-11-28,tx_added
Ryan Fitzpatrick,333,2020-12-06,tx_dropped
Ryquell Armstead,6007,2020-09-12,tx_added
Sammy Watkins,1817,2020-09-18,tx_added
Sammy Watkins,1817,2020-09-23,tx_dropped
Sammy Watkins,1817,2020-10-01,tx_added
Sammy Watkins,1817,2020-10-25,tx_dropped
Scotty Miller,6290,2020-09-16,tx_added
T.Y. Hilton,1110,2020-08-28,startup_draftday
T.Y. Hilton,1110,2020-10-21,tx_dropped
T.Y. Hilton,1110,2020-12-16,tx_added
Tarik Cohen,4157,2020-08-28,startup_draftday
Teddy Bridgewater,2152,2020-10-08,tx_added
Tevin Coleman,2378,2020-08-28,startup_draftday
Tevin Coleman,2378,2020-10-23,tx_dropped
Todd Gurley,2315,2020-08-28,startup_draftday
Todd Gurley,2315,2020-12-23,tx_dropped
Tom Brady,167,2020-08-28,startup_draftday
Travis Fulgham,6059,2020-10-15,tx_added
Travis Fulgham,6059,2020-10-17,tx_dropped
Travis Fulgham,6059,2020-10-21,tx_added
Tyrell Williams,2583,2020-09-11,tx_added
Tyron Billy-Johnson,6063,2020-12-27,tx_added
Wayne Gallman,4150,2020-11-25,tx_added
Wayne Gallman,4150,2020-11-26,tx_dropped
Wayne Gallman,4150,2020-12-04,tx_added
William Fuller,3157,2020-08-28,startup_draftday
